curie,label,retrieved_at
NCBITaxon:100176,Papillibacter cinnamivorans,2026-09-13T06:42:56.470363
NCBITaxon:100226,Streptomyces coelicolor A3(2),2026-09-13T06:42:56.603213
NCBITaxon:101201,Trichoderma asperellum,2026-09-13T06:42:56.558512
NCBITaxon:101510,Rhodococcus jostii RHA1,2026-09-13T06:42:56.554544
NCBITaxon:1021,Beggiatoa,2026-09-13T06:42:56.584889
NCBITaxon:10239,Viruses,2026-09-13T06:42:56.442748
NCBITaxon:1031,Thiothrix nivea,2026-09-13T06:42:56.584614
NCBITaxon:1033,Afipia,2026-09-13T06:42:56.598394
NCBITaxon:1033997,Nitrososphaeraceae,2026-09-13T06:42:56.521624
NCBITaxon:1034015,Nitrososphaera viennensis,2026-09-13T06:42:56.612030
NCBITaxon:105841,Anaerostipes caccae,2026-09-13T06:42:56.573180
NCBITaxon:105972,Methylosarcina fibrata,2026-09-13T06:42:56.525151
NCBITaxon:1061,Rhodobacter capsulatus,2026-09-13T06:42:56.460641
NCBITaxon:1064,Rhodocyclus,2026-09-13T06:42:56.518026
NCBITaxon:106589,Cupriavidus,2026-09-13T10:02:14.970184
NCBITaxon:106591,Ensifer,2026-09-13T06:42:56.490942
NCBITaxon:106592,Ensifer adhaerens,2026-09-13T06:42:56.532952
NCBITaxon:1072583,Vreelandella boliviensis LC1,2026-09-13T06:42:56.590938
NCBITaxon:1076,Rhodopseudomonas palustris,2026-09-13T06:42:56.568437
NCBITaxon:1078905,Nitrosotalea devaniterrae,2026-09-13T06:42:56.430404
NCBITaxon:1079257,Ilyonectria robusta,2026-09-14T20:34:12
NCBITaxon:1089553,Thermacetogenium phaeum DSM 12270,2026-09-13T06:42:56.596899
NCBITaxon:1090,Chlorobiota,2026-09-13T06:42:56.438813
NCBITaxon:1091494,Methylotuvimicrobium alcaliphilum 20Z,2026-09-13T06:42:56.543881
NCBITaxon:110321,Sinorhizobium medicae,2026-09-13T06:42:56.525989
NCBITaxon:110500,Pelotomaculum thermopropionicum,2026-09-13T06:42:56.557132
NCBITaxon:1105143,Kribbella shirazensis,2026-09-13T06:42:56.580172
NCBITaxon:1107,Chloroflexus,2026-09-13T06:42:56.548058
NCBITaxon:110932,Leifsonia,2026-09-13T06:42:56.544975
NCBITaxon:1117,Cyanobacteriota,2026-09-13T06:42:56.545809
NCBITaxon:1117309,Funneliformis coronatus,2026-09-13T13:34:17.462486
NCBITaxon:1122947,Pelosinus fermentans DSM 17108,2026-09-13T06:42:56.489056
NCBITaxon:1125,Microcystis <cyanobacteria>,2026-09-13T06:42:56.538938
NCBITaxon:1125364,Coccomyxa onubensis,2026-09-13T06:42:56.516068
NCBITaxon:1129,Synechococcus,2026-09-13T06:42:56.547241
NCBITaxon:1130819,Lysinibacillus mangiferihumi,2026-09-13T06:42:56.563348
NCBITaxon:1131703,Sphaerochaeta globosa,2026-09-13T06:42:56.483821
NCBITaxon:1133423,Septoglomus constrictum,2026-09-13T13:34:17.453533
NCBITaxon:1134404,Ignavibacteriota,2026-09-13T06:42:56.571457
NCBITaxon:1140,Synechococcus elongatus PCC 7942 = FACHB-805,2026-09-13T06:42:56.590054
NCBITaxon:1148,Synechocystis sp. PCC 6803,2026-09-13T06:42:56.425913
NCBITaxon:1163,Anabaena,2026-09-13T06:42:56.437939
NCBITaxon:1165,Anabaena cylindrica,2026-09-13T06:42:56.536951
