curie,label,retrieved_at
NCBITaxon:117187,Fusarium verticillioides,2026-09-13T06:42:56.535486
NCBITaxon:1175444,Methanocella conradii,2026-09-13T06:42:56.557539
NCBITaxon:1176259,Pseudomonas songnenensis,2026-09-13T06:42:56.563637
NCBITaxon:1179,Desmonostoc muscorum,2026-09-13T06:42:56.537234
NCBITaxon:118127,Chryseobacterium proteolyticum,2026-09-13T06:42:56.579275
NCBITaxon:1183412,Agrobacterium deltae,2026-09-13T06:42:56.589752
NCBITaxon:118562,Limnospira platensis,2026-09-13T06:42:56.537480
NCBITaxon:118667,Bordetella sp. M1-6,2026-09-13T06:42:56.572899
NCBITaxon:118669,Pseudoxanthomonas sp. M1-3,2026-09-13T06:42:56.572568
NCBITaxon:119060,Burkholderiaceae,2026-09-13T06:42:56.566730
NCBITaxon:119219,Cupriavidus metallidurans,2026-09-13T06:42:56.455407
NCBITaxon:119484,Syntrophobacter fumaroxidans,2026-09-13T06:42:56.592132
NCBITaxon:119532,Microcoleus vaginatus,2026-09-13T06:42:56.544483
NCBITaxon:119977,Acidithiobacillus,2026-09-13T06:42:56.482429
NCBITaxon:120961,Roseiflexus,2026-09-13T06:42:56.547587
NCBITaxon:121039,Ferrimicrobium acidiphilum,2026-09-13T06:42:56.428913
NCBITaxon:1215089,Planococcus halocryophilus,2026-09-13T06:42:56.536594
NCBITaxon:1218105,Cupriavidus necator NBRC 102504,2026-09-13T06:42:56.542645
NCBITaxon:1219,Prochlorococcus marinus,2026-09-13T06:42:56.564577
NCBITaxon:1224,Pseudomonadota,2026-09-13T06:42:56.426203
NCBITaxon:1234,Nitrospira,2026-09-13T06:42:56.431299
NCBITaxon:1236,Gammaproteobacteria,2026-09-13T06:42:56.427713
NCBITaxon:1239,Bacillota,2026-09-13T06:42:56.436748
NCBITaxon:1243,Leuconostoc,2026-09-13T06:42:56.586951
NCBITaxon:1245,Leuconostoc mesenteroides,2026-09-13T06:42:56.451897
NCBITaxon:1253,Pediococcus,2026-09-13T06:42:56.587242
NCBITaxon:1261393,Desulfatiglans parachlorophenolica,2026-09-13T06:42:56.600494
NCBITaxon:1264,Hominimerdicola alba,2026-09-13T06:42:56.457210
NCBITaxon:1269,Micrococcus,2026-09-13T06:42:56.519153
NCBITaxon:1270,Micrococcus luteus,2026-09-13T06:42:56.412325
NCBITaxon:1272,Kocuria varians,2026-09-13T06:42:56.518589
NCBITaxon:1279,Staphylococcus,2026-09-13T06:42:56.462316
NCBITaxon:1280,Staphylococcus aureus,2026-09-13T06:42:56.453374
NCBITaxon:129001,Syntrophothermus,2026-09-13T06:42:56.412718
NCBITaxon:12916,Acidovorax,2026-09-13T06:42:56.569901
NCBITaxon:12960,Azoarcus,2026-09-13T06:42:56.540146
NCBITaxon:1303,Streptococcus oralis,2026-09-13T06:42:56.493181
NCBITaxon:1304,Streptococcus salivarius,2026-09-13T06:42:56.488229
NCBITaxon:1305,Streptococcus sanguinis,2026-09-13T06:42:56.488475
NCBITaxon:1308,Streptococcus thermophilus,2026-09-13T06:42:56.413090
NCBITaxon:1309,Streptococcus mutans,2026-09-13T06:42:56.487891
NCBITaxon:131567,cellular organisms,2026-09-13T06:42:56.476946
NCBITaxon:1316151,Septoglomus viscosum,2026-09-13T13:34:17.487132
NCBITaxon:1317,Streptococcus downei,2026-09-13T06:42:56.493664
NCBITaxon:133,Methylocystis,2026-09-13T06:42:56.540480
NCBITaxon:1335,Streptococcus equinus,2026-09-13T06:42:56.577006
NCBITaxon:1335640,Clostridium saccharoperbutylacetonicum N1-4,2026-09-13T06:42:56.476657
NCBITaxon:1336235,Paenirhizobium selenitireducens ATCC BAA-1503,2026-09-13T06:42:56.555509
NCBITaxon:13366,Brettanomyces,2026-09-13T06:42:56.523533
NCBITaxon:133925,Olsenella,2026-09-13T06:42:56.505826
NCBITaxon:134,Methylocystis parvus,2026-09-13T06:42:56.543367
NCBITaxon:1344414,Trichoderma reesei RUT C-30,2026-09-13T06:42:56.602642
NCBITaxon:1350,Enterococcus,2026-09-13T06:42:56.498974
NCBITaxon:1350461,Synechococcus elongatus UTEX 2973,2026-09-13T06:42:56.591239
NCBITaxon:1351,Enterococcus faecalis,2026-09-13T06:42:56.413428
NCBITaxon:135461,Bacillus subtilis subsp. subtilis,2026-09-13T16:15:34.161608
NCBITaxon:135614,Lysobacterales,2026-09-13T06:42:56.485304
NCBITaxon:135619,Oceanospirillales,2026-09-13T06:42:56.486455
NCBITaxon:1358,Lactococcus lactis,2026-09-13T06:42:56.413675
NCBITaxon:13687,Sphingomonas,2026-09-13T06:42:56.593624
NCBITaxon:1377992,Halovenus,2026-09-13T06:42:56.575080
NCBITaxon:1379858,Mucispirillum schaedleri ASF457,2026-09-13T06:42:56.437339
NCBITaxon:138074,Serratia symbiotica,2026-09-13T06:42:56.456261
NCBITaxon:1384459,Methyloceanibacter caenitepidi,2026-09-13T06:42:56.543057
NCBITaxon:1386,Bacillus <firmicutes>,2026-09-13T06:42:56.413919
NCBITaxon:1390,Bacillus amyloliquefaciens,2026-09-13T21:26:33.511286
NCBITaxon:1396,Bacillus cereus,2026-09-13T06:42:56.465284
NCBITaxon:1398,Heyndrickxia coagulans,2026-09-13T06:42:56.492319
NCBITaxon:1399,Cytobacillus firmus,2026-09-13T06:42:56.559264
NCBITaxon:1401,Paenibacillus lautus,2026-09-13T06:42:56.577922
NCBITaxon:1402,Bacillus licheniformis,2026-09-13T06:42:56.425601
NCBITaxon:1404,Priestia megaterium,2026-09-13T06:42:56.528431
NCBITaxon:1406,Paenibacillus polymyxa,2026-09-13T06:42:56.504597
NCBITaxon:1408,Bacillus pumilus,2026-09-13T16:15:34.174212
NCBITaxon:1421,Lysinibacillus sphaericus,2026-09-13T06:42:56.562963
NCBITaxon:142182,Gemmatimonadota,2026-09-13T06:42:56.494778
NCBITaxon:1423,Bacillus subtilis,2026-09-13T06:42:56.414162
NCBITaxon:1428,Bacillus thuringiensis,2026-09-13T06:42:56.595103
NCBITaxon:1432792,Methylocaldum marinum,2026-09-13T06:42:56.542175
NCBITaxon:1434011,Komagataeibacter,2026-09-13T06:42:56.523000
NCBITaxon:1434019,Mameliella,2026-09-13T06:42:56.480394
NCBITaxon:1436290,Candidatus Symbiobacter mobilis,2026-09-13T06:42:56.469335
NCBITaxon:145260,Methanothermobacter,2026-09-13T06:42:56.414408
NCBITaxon:145262,Methanothermobacter thermautotrophicus,2026-09-13T06:42:56.557842
NCBITaxon:1462422,Candidatus Parvarchaeota,2026-09-13T06:42:56.571126
NCBITaxon:146918,Salinibacter,2026-09-13T06:42:56.576495
NCBITaxon:148447,Paraburkholderia phymatum,2026-09-13T10:02:14.991001
NCBITaxon:1485,Clostridium,2026-09-13T06:42:56.499272
NCBITaxon:1488,Clostridium acetobutylicum,2026-09-13T06:42:56.471195
NCBITaxon:1492,Clostridium butyricum,2026-09-13T06:42:56.573429
NCBITaxon:149698,Massilia,2026-09-13T06:42:56.490457
NCBITaxon:1501,Clostridium pasteurianum,2026-09-13T06:42:56.508892
NCBITaxon:1501972,Brevundimonas sp. R3,2026-09-13T06:42:56.530781
NCBITaxon:1512,[Clostridium] symbiosum,2026-09-13T06:42:56.414741
NCBITaxon:1515,Acetivibrio thermocellus,2026-09-13T06:42:56.458071
NCBITaxon:1517,Thermoanaerobacterium thermosaccharolyticum,2026-09-13T06:42:56.476413
NCBITaxon:1519,Clostridium tyrobutyricum,2026-09-13T06:42:56.602289
NCBITaxon:1520,Clostridium beijerinckii,2026-09-13T06:42:56.473338
NCBITaxon:1521,Ruminiclostridium cellulolyticum,2026-09-13T06:42:56.460976
NCBITaxon:1521555,Eucapsis,2026-09-13T06:42:56.535794
NCBITaxon:1534,Clostridium kluyveri,2026-09-13T06:42:56.472001
NCBITaxon:1538,Clostridium ljungdahlii,2026-09-13T06:42:56.471436
NCBITaxon:1546519,Sulfitobacter sp. SA11,2026-09-13T06:42:56.568125
NCBITaxon:1547,Thomasclavelia ramosa,2026-09-13T06:42:56.573678
NCBITaxon:1571157,Coniochaeta sp. 2T2.1,2026-09-13T06:42:56.477732
NCBITaxon:1577725,Conticribra weissflogii,2026-09-13T06:42:56.595709
NCBITaxon:1578,Lactobacillus,2026-09-13T06:42:56.437044
NCBITaxon:1579,Lactobacillus acidophilus,2026-09-13T06:42:56.414985
NCBITaxon:1582,Lacticaseibacillus casei,2026-09-13T06:42:56.487594
NCBITaxon:1585,Lactobacillus delbrueckii subsp. bulgaricus,2026-09-13T06:42:56.608720
NCBITaxon:1589,Lactiplantibacillus pentosus,2026-09-13T06:42:56.601969
NCBITaxon:1590,Lactiplantibacillus plantarum,2026-09-13T06:42:56.415228
NCBITaxon:159743,Paenibacillus terrae,2026-09-13T06:42:56.562299
NCBITaxon:16,Methylophilus,2026-09-13T06:42:56.525476
NCBITaxon:160488,Pseudomonas putida KT2440,2026-09-13T06:42:56.554924
NCBITaxon:1605331,Microbacterium sp. UYFA68,2026-09-13T06:42:56.530190
NCBITaxon:161493,Anaeromyxobacter dehalogenans,2026-09-13T06:42:56.571740
NCBITaxon:1624,Ligilactobacillus salivarius,2026-09-13T06:42:56.463539
NCBITaxon:1646340,Kosakonia pseudosacchari,2026-09-13T06:42:56.528979
NCBITaxon:165179,Segatella copri,2026-09-13T06:42:56.415471
NCBITaxon:1655,Actinomyces naeslundii,2026-09-13T06:42:56.494025
NCBITaxon:165695,Sphingobium,2026-09-13T06:42:56.549971
NCBITaxon:1663,Arthrobacter,2026-09-13T06:42:56.415717
NCBITaxon:166486,Roseburia intestinalis,2026-09-13T06:42:56.513086
NCBITaxon:1667,Arthrobacter sp.,2026-09-13T06:42:56.496765
NCBITaxon:1671625,Candidatus Methanoculleus thermohydrogenotrophicum,2026-09-13T06:42:56.416050
NCBITaxon:1673428,Cuniculiplasma divulgatum,2026-09-13T06:42:56.517170
NCBITaxon:1678,Bifidobacterium,2026-09-13T06:42:56.506803
NCBITaxon:1681,Bifidobacterium bifidum,2026-09-13T06:42:56.453954
NCBITaxon:1682,Bifidobacterium longum subsp. infantis,2026-09-13T06:42:56.453662
NCBITaxon:168384,Marvinbryantia formatexigens,2026-09-13T06:42:56.513500
NCBITaxon:1685,Bifidobacterium breve,2026-09-13T06:42:56.447740
NCBITaxon:1696,Brevibacterium,2026-09-13T06:42:56.462614
NCBITaxon:1699721,Neotibicen canicularis,2026-09-13T06:42:56.451014
NCBITaxon:1707,Cellulomonas,2026-09-13T06:42:56.460316
NCBITaxon:1708,Cellulomonas fimi,2026-09-13T06:42:56.546101
NCBITaxon:1718,Corynebacterium glutamicum,2026-09-13T06:42:56.479157
NCBITaxon:1763,Mycobacterium,2026-09-13T06:42:56.495404
NCBITaxon:1766253,Agathobacter,2026-09-13T06:42:56.506383
NCBITaxon:1769012,Arachidicoccus,2026-09-13T06:42:56.599593
NCBITaxon:1783273,Patescibacteria group,2026-09-13T06:42:56.482185
NCBITaxon:1783276,Nanobdellati,2026-09-13T06:42:56.500676
NCBITaxon:1785,Mycobacterium sp.,2026-09-13T06:42:56.532365
NCBITaxon:178606,Leptospirillum ferriphilum,2026-09-13T06:42:56.442162
NCBITaxon:178898,Carboxydocella,2026-09-13T06:42:56.583525
NCBITaxon:179,Leptospirillum,2026-09-13T06:42:56.514179
NCBITaxon:179879,Burkholderia anthina,2026-09-13T06:42:56.578795
NCBITaxon:18,Pelobacter,2026-09-13T06:42:56.489578
NCBITaxon:180,Leptospirillum ferrooxidans,2026-09-13T06:42:56.545566
NCBITaxon:180162,Cetobacterium,2026-09-13T06:42:56.481552
NCBITaxon:1801631,Microcaldota,2026-09-13T06:42:56.570878
NCBITaxon:1814128,Streptococcus halotolerans,2026-09-13T06:42:56.416297
NCBITaxon:1817801,Candidatus Eiseniibacteriota,2026-09-13T06:42:56.537752
NCBITaxon:1822464,Paraburkholderia,2026-09-13T06:42:56.495102
NCBITaxon:1827,Rhodococcus <high G+C Gram-positive bacteria>,2026-09-13T06:42:56.441066
NCBITaxon:1840214,Lentimicrobium,2026-09-13T06:42:56.416539
NCBITaxon:1847,Pseudonocardia,2026-09-13T06:42:56.565795
NCBITaxon:1849822,Paraclostridium,2026-09-13T06:42:56.481916
NCBITaxon:186490,Candidatus Palibaumannia cicadellinicola,2026-09-13T06:42:56.450651
NCBITaxon:1866885,Mycolicibacterium,2026-09-13T06:42:56.565461
NCBITaxon:186801,Clostridia,2026-09-13T06:42:56.510108
NCBITaxon:1869185,Taibaiella sp.,2026-09-13T06:42:56.531266
NCBITaxon:1871043,Variovorax sp.,2026-09-13T06:42:56.440801
NCBITaxon:1871068,Phyllobacteriaceae bacterium,2026-09-13T06:42:56.526236
NCBITaxon:1872086,Ensifer sp.,2026-09-13T06:42:56.532118
NCBITaxon:1872114,Acidiplasma sp.,2026-09-13T06:42:56.516898
NCBITaxon:1872122,Acidovorax sp.,2026-09-13T06:42:56.492939
NCBITaxon:1872427,Alcanivorax sp.,2026-09-13T06:42:56.508598
NCBITaxon:1873462,Microbacteriaceae bacterium,2026-09-13T06:42:56.527599
NCBITaxon:1883,Streptomyces,2026-09-13T06:42:56.447498
NCBITaxon:1889,Streptomyces ambofaciens,2026-09-13T06:42:56.577659
NCBITaxon:189779,Nitrospiraceae,2026-09-13T06:42:56.521890
NCBITaxon:1902583,Candidatus Desulfofervidus,2026-09-13T06:42:56.431904
NCBITaxon:1904413,Suillus clintonianus,2026-09-13T06:42:56.583901
NCBITaxon:1908224,Sphingopyxis sp.,2026-09-13T06:42:56.531835
NCBITaxon:190972,Sedimentibacter,2026-09-13T06:42:56.416783
NCBITaxon:1913961,Rhizobiaceae bacterium,2026-09-13T06:42:56.526574
NCBITaxon:1914288,Dyadobacter sp.,2026-09-13T06:42:56.531025
NCBITaxon:1914538,Pseudomonadaceae bacterium,2026-09-13T06:42:56.527356
NCBITaxon:1918507,Candidatus Phosphitivorax anaerolimi,2026-09-13T06:42:56.561261
NCBITaxon:192,Azospirillum brasilense,2026-09-13T06:42:56.466649
NCBITaxon:1928,Streptomyces rochei,2026-09-13T06:42:56.611032
NCBITaxon:1931,Streptomyces sp.,2026-09-13T06:42:56.441332
NCBITaxon:1935183,Promethearchaeati,2026-09-13T06:42:56.439689
NCBITaxon:1979961,Wenzhouxiangella sp.,2026-09-13T06:42:56.560449
NCBITaxon:198620,Pseudomonas koreensis,2026-09-13T06:42:56.561965
NCBITaxon:1988,Actinomadura,2026-09-13T06:42:56.477486
NCBITaxon:2,Bacteria,2026-09-13T06:42:56.417083
NCBITaxon:20,Phenylobacterium,2026-09-13T06:42:56.599902
NCBITaxon:200795,Chloroflexota,2026-09-13T06:42:56.510637
NCBITaxon:200918,Thermotogota,2026-09-13T06:42:56.511004
NCBITaxon:200940,Thermodesulfobacteriota,2026-09-13T06:42:56.604321
NCBITaxon:201174,Actinomycetota,2026-09-13T06:42:56.434029
NCBITaxon:2026186,Bacillus paranthracis,2026-09-13T06:42:56.425310
NCBITaxon:2026194,Bacillus paramycoides,2026-09-13T16:15:34.209129
NCBITaxon:202950,Acinetobacter baylyi,2026-09-13T06:42:56.574832
NCBITaxon:2030806,Burkholderiaceae bacterium,2026-09-13T06:42:56.526866
NCBITaxon:203119,Acetivibrio thermocellus ATCC 27405,2026-09-13T06:42:56.472263
NCBITaxon:203124,Trichodesmium erythraeum IMS101,2026-09-13T06:42:56.603560
NCBITaxon:2034,Curtobacterium,2026-09-13T06:42:56.544731
NCBITaxon:2034504,Sulfurivermis,2026-09-13T06:42:56.539564
NCBITaxon:203682,Planctomycetota,2026-09-13T06:42:56.438229
NCBITaxon:203691,Spirochaetota,2026-09-13T06:42:56.507145
NCBITaxon:204441,Rhodospirillales,2026-09-13T06:42:56.483033
NCBITaxon:204476,Labrys <a-proteobacteria>,2026-09-13T06:42:56.610364
NCBITaxon:2052312,Candidatus Dormiibacterota,2026-09-13T06:42:56.577342
NCBITaxon:2053,Gordonia <high G+C Gram-positive bacteria>,2026-09-13T06:42:56.417373
NCBITaxon:2093828,Neorhizobium tomejilense,2026-09-13T06:42:56.532609
NCBITaxon:211586,Shewanella oneidensis MR-1,2026-09-13T06:42:56.428306
NCBITaxon:213118,Desulfobacterales,2026-09-13T06:42:56.433119
NCBITaxon:213119,Desulfobacteraceae,2026-09-13T06:42:56.432806
NCBITaxon:213121,Desulfobulbaceae,2026-09-13T06:42:56.457482
NCBITaxon:2157,Archaea,2026-09-13T06:42:56.433418
NCBITaxon:215813,Dinoroseobacter shibae,2026-09-13T06:42:56.554085
NCBITaxon:2160,Methanobacterium,2026-09-13T06:42:56.539312
NCBITaxon:2162,Methanobacterium formicicum,2026-09-13T06:42:56.470954
NCBITaxon:216389,Dehalococcoides mccartyi BAV1,2026-09-13T06:42:56.489336
NCBITaxon:216431,Croceibacter,2026-09-13T06:42:56.481067
NCBITaxon:216816,Bifidobacterium longum,2026-09-13T06:42:56.417615
NCBITaxon:217159,Clostridium carboxidivorans,2026-09-13T06:42:56.472749
NCBITaxon:2172,Methanobrevibacter,2026-09-13T06:42:56.515727
NCBITaxon:2173,Methanobrevibacter smithii,2026-09-13T06:42:56.446101
NCBITaxon:219572,Pseudomonas antarctica,2026-09-13T06:42:56.417861
NCBITaxon:22,Shewanella,2026-09-13T06:42:56.551419
NCBITaxon:2203,Methanospirillum hungatei,2026-09-13T06:42:56.560080
NCBITaxon:2207,Methanosarcina,2026-09-13T06:42:56.418150
NCBITaxon:2208,Methanosarcina barkeri,2026-09-13T06:42:56.484757
NCBITaxon:2209,Methanosarcina mazei,2026-09-13T06:42:56.483581
NCBITaxon:222,Achromobacter,2026-09-13T06:42:56.597203
NCBITaxon:2223,Methanothrix soehngenii,2026-09-13T06:42:56.461666
NCBITaxon:2237,Haloarcula,2026-09-13T06:42:56.575762
NCBITaxon:2239,Halobacterium,2026-09-13T06:42:56.576227
NCBITaxon:223967,Methylorubrum populi,2026-09-13T06:42:56.528674
NCBITaxon:224756,Methanomicrobia,2026-09-13T06:42:56.436437
NCBITaxon:225937,Marinobacter adhaerens HP15,2026-09-13T06:42:56.596004
NCBITaxon:226186,Bacteroides thetaiotaomicron VPI-5482,2026-09-13T06:42:56.445515
NCBITaxon:2268204,Thermoplasmatales archaeon,2026-09-13T06:42:56.517539
NCBITaxon:2283796,Thermoplasmatota,2026-09-13T06:42:56.439099
NCBITaxon:2301,Thermoplasmatales,2026-09-13T06:42:56.483337
NCBITaxon:231455,Dyella japonica,2026-09-13T06:42:56.485011
NCBITaxon:2357,Desulfomonile,2026-09-13T06:42:56.515184
NCBITaxon:236401,Graphocephala coccinea,2026-09-13T06:42:56.450408
NCBITaxon:237,Flavobacterium,2026-09-13T06:42:56.485684
NCBITaxon:2375,Sporomusa,2026-09-13T06:42:56.521379
NCBITaxon:237612,Sphingomonas panni,2026-09-13T06:42:56.593328
NCBITaxon:239,Flavobacterium sp.,2026-09-13T06:42:56.441603
NCBITaxon:239935,Akkermansia muciniphila,2026-09-13T06:42:56.418568
NCBITaxon:243164,Dehalococcoides mccartyi 195,2026-09-13T06:42:56.488743
NCBITaxon:243232,Methanocaldococcus jannaschii DSM 2661,2026-09-13T06:42:56.598089
NCBITaxon:243274,Thermotoga maritima MSB8,2026-09-13T06:42:56.597791
NCBITaxon:244366,Klebsiella variicola,2026-09-13T06:42:56.520542
NCBITaxon:245876,Nitratireductor,2026-09-13T06:42:56.418814
NCBITaxon:246200,Ruegeria pomeroyi DSS-3,2026-09-13T06:42:56.596595
NCBITaxon:2487276,Bacillus cabrialesii,2026-09-13T06:42:56.503963
NCBITaxon:2496117,Variovorax beijingensis,2026-09-13T06:42:56.533249
NCBITaxon:250,Chryseobacterium gleum,2026-09-13T06:42:56.582083
NCBITaxon:252970,Paraburkholderia phenoliruptrix,2026-09-13T10:02:14.982287
NCBITaxon:253,Chryseobacterium indologenes,2026-09-13T06:42:56.534884
NCBITaxon:2530459,Galdieria sp.,2026-09-13T06:42:56.541374
NCBITaxon:253314,Acetivibrio straminisolvens,2026-09-13T06:42:56.572072
NCBITaxon:255204,Pseudoclavibacter,2026-09-13T11:32:05.864057
NCBITaxon:2571160,Trinickia,2026-09-13T10:02:15.010050
NCBITaxon:258594,Rhodopseudomonas palustris CGA009,2026-09-13T06:42:56.473821
NCBITaxon:2591003,Ferroplasma sp.,2026-09-13T06:42:56.516650
NCBITaxon:2597222,Candidatus Acidulidesulfobacterium,2026-09-13T06:42:56.515479
NCBITaxon:266,Paracoccus denitrificans,2026-09-13T06:42:56.561622
NCBITaxon:267377,Methanococcus maripaludis S2,2026-09-13T06:42:56.491206
NCBITaxon:2675547,Chlorella sp. HS2,2026-09-13T06:42:56.544213
NCBITaxon:267818,Lactobacillus kefiranofaciens,2026-09-13T06:42:56.451622
NCBITaxon:2689614,Steroidobacteraceae,2026-09-13T06:42:56.522203
NCBITaxon:2697049,Severe acute respiratory syndrome coronavirus 2,2026-09-13T06:42:56.447198
NCBITaxon:269797,Methanosarcina barkeri str. Fusaro,2026-09-13T06:42:56.473579
NCBITaxon:270351,Methylobacterium aquaticum,2026-09-13T06:42:56.465903
NCBITaxon:272562,Clostridium acetobutylicum ATCC 824,2026-09-13T06:42:56.474065
NCBITaxon:272772,Pseudomonas pudica,2026-09-13T06:42:56.578305
NCBITaxon:2736640,Pseudonocardia broussonetiae,2026-09-13T06:42:56.566176
NCBITaxon:27381,Funneliformis mosseae,2026-09-13T13:34:17.478837
NCBITaxon:2740557,Pauljensenia,2026-09-13T06:42:56.506081
NCBITaxon:2742,Marinobacter,2026-09-13T06:42:56.481310
NCBITaxon:2759,Eukaryota,2026-09-13T06:42:56.442474
NCBITaxon:2782567,Paenarthrobacter sp. GOM3,2026-09-13T06:42:56.508259
NCBITaxon:2800685,Pelagerythrobacter,2026-09-13T06:42:56.419094
NCBITaxon:280333,Bradyrhizobium pachyrhizi,2026-09-13T06:42:56.555214
NCBITaxon:28034,Sulfobacillus thermosulfidooxidans,2026-09-13T06:42:56.478816
NCBITaxon:28037,Streptococcus mitis,2026-09-13T06:42:56.493422
NCBITaxon:28065,Rhodoferax,2026-09-13T06:42:56.435836
NCBITaxon:28108,Alteromonas macleodii,2026-09-13T06:42:56.564922
NCBITaxon:28116,Bacteroides ovatus,2026-09-13T06:42:56.419337
NCBITaxon:2818505,Myxococcota,2026-09-13T06:42:56.538154
NCBITaxon:28211,Alphaproteobacteria,2026-09-13T06:42:56.549251
NCBITaxon:28216,Betaproteobacteria,2026-09-13T06:42:56.494292
NCBITaxon:28228,Colwellia,2026-09-13T06:42:56.486812
NCBITaxon:28231,Geobacter,2026-09-13T06:42:56.469878
NCBITaxon:28232,Geobacter metallireducens,2026-09-13T06:42:56.509188
NCBITaxon:28261,Thermodesulfovibrio,2026-09-13T06:42:56.548316
NCBITaxon:2836,Bacillariophyta,2026-09-13T06:42:56.591838
NCBITaxon:2837503,Gottfriedia,2026-09-13T06:42:56.498111
NCBITaxon:28453,Sphingobacterium,2026-09-13T06:42:56.500429
NCBITaxon:2853159,Pseudomonas pergaminensis,2026-09-13T06:42:56.505472
NCBITaxon:286,Pseudomonas,2026-09-13T06:42:56.439387
NCBITaxon:287,Pseudomonas aeruginosa,2026-09-13T06:42:56.434926
NCBITaxon:2886510,Sphingobacterium paramultivorum,2026-09-13T06:42:56.478007
NCBITaxon:28889,Thermoproteota,2026-09-13T06:42:56.538399
NCBITaxon:28890,Methanobacteriota,2026-09-13T06:42:56.511379
NCBITaxon:2903,Emiliania huxleyi,2026-09-13T06:42:56.499568
NCBITaxon:2924872,Acididesulfobacillus,2026-09-13T06:42:56.512262
NCBITaxon:29305,Streptomyces griseoincarnatus,2026-09-13T06:42:56.611692
NCBITaxon:293387,Bacillus altitudinis,2026-09-13T06:42:56.584305
NCBITaxon:29388,Staphylococcus capitis,2026-09-13T06:42:56.419661
NCBITaxon:29394,Dolosigranulum pigrum,2026-09-13T06:42:56.453086
NCBITaxon:294,Pseudomonas fluorescens,2026-09-13T06:42:56.518268
NCBITaxon:29448,Bradyrhizobium elkanii,2026-09-13T06:42:56.582661
NCBITaxon:29466,Veillonella parvula,2026-09-13T06:42:56.454554
NCBITaxon:296543,Thalassiosira pseudonana CCMP1335,2026-09-13T06:42:56.596301
NCBITaxon:2982533,Microbacterium forte,2026-09-13T06:42:56.465029
NCBITaxon:29875,Trichoderma virens,2026-09-13T06:42:56.446906
